Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,BDI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,33.93599516,34.8032918,35.67058843,36.53788507,37.4051817,38.27247833,39.13977497,40.0070716,40.87436823,41.74166487,42.6089615,43.47625814,44.34355477,45.2108514,46.07814804,46.07814804
Belgium,BEL,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.48324144,99.48362661,99.48401178,99.48439696,99.48478213,99.4851673,99.48555248,99.48593765,99.48612539,99.48612539,99.48612539,99.48612539,99.48612539,99.48612539,99.48612539,99.48612539
Benin,BEN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,20.61892678,20.89862283,21.17831889,21.45801495,21.73771101,22.01740706,22.29710312,22.57679918,22.85649523,23.13619129,23.41588735,23.6955834,23.97527946,24.25497552,24.53467158,24.81436763
Burkina Faso,BFA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,44.18880824,44.18880824,44.44138112,44.693954,44.94652689,45.19909977,45.45167265,45.70424554,45.95681842,46.2093913,46.46196418,46.71453707,46.96710995,47.21968283,47.47225572,47.7248286
Bangladesh,BGD,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,40.74722524,41.60843854,42.46965185,43.33086515,44.19207845,45.05329176,45.91450506,46.77571837,47.63693167,48.49814497,49.35935828,50.22057158,51.08178488,51.94299819,52.80421149,53.66542479
Bulgaria,BGR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838,86.7803838
Bahrain,BHR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.3868107,98.42616654,98.46552238,98.50487822,98.54423406,98.5835899,98.62294574,98.66230158,98.70165742,98.74101326,98.7803691,98.81972494,98.85908078,98.89843661,98.93779245,98.93779245
Belarus,BLR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,93.95062746,93.95062746,93.95062746,93.95062746,93.95883562,93.96704377,93.97525192,93.98346007,93.99166822,93.99987638,94.00808453,94.01629268,94.02450083,94.03270898,94.04091714,94.04912529
Belize,BLZ,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,86.81658678,87.10379143,87.39099608,87.67820073,87.96540539,88.25261004,88.53981469,88.82701934,89.114224,89.40142865,89.6886333,89.97583795,90.26304261,90.55024726,90.83745191,91.12465656
Bermuda,BMU,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.99414291,99.98655933,99.97897576,99.97139218,99.96380861,99.95622504,99.94864146,99.94105789,99.93347431,99.92589074,99.91830717,99.91072359,99.90314002,99.90314002,99.90314002,99.90314002
Bolivia,BOL,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,50.88834903,51.7942699,52.70019077,53.60611164,54.51203251,55.41795338,56.32387426,57.22979513,58.135716,59.04163687,59.94755774,60.85347861,61.75939948,62.66532035,63.57124123,64.4771621
Brazil,BRA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,81.95699263,82.54999578,83.14299894,83.73600209,84.32900525,84.9220084,85.51501156,86.10801471,86.70101787,87.29402102,87.88702418,88.48002733,89.07303049,89.66603364,90.25903679,90.85203995
Barbados,BRB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,96.03274736,96.03274736,96.03274736,96.03274736,96.03274736,96.03274736,96.03274736,96.03274736,96.03274736
Bhutan,BTN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,74.52097462,74.52097462,74.34690318,74.17283174,73.99876029,73.82468885,73.65061741,73.47654597,73.30247453,73.12840309,72.95433165,72.7802602,72.60618876,72.43211732,72.25804588,72.08397444
Botswana,BWA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,71.6773459,71.94313635,72.20892679,72.47471723,72.74050767,73.00629811,73.27208855,73.53787899,73.80366943,74.06945987,74.33525031,74.60104075,74.86683119,75.13262163,75.13262163,75.13262163
Central African Republic,CAF,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,26.05639934,27.97671579,29.89703223,31.81734868,33.73766512,35.65798156,37.57829801,39.49861445,41.41893089,43.33924734,45.25956378,47.17988022,49.10019667,49.10019667,49.10019667,49.10019667
Canada,CAN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,94.93548607,95.08329177,95.24366924,95.39394187,95.54411937,95.69499214,95.38799727,95.51812164,95.64968194,95.77670593,95.89915275,96.01838389,96.1397185,96.26080789,96.3817772,96.50353091
Switzerland,CHE,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999,99.8998999
Channel Islands,CHI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Chile,CHL,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,95.85068282,96.15322983,96.45577684,96.75832385,97.06087086,97.36341787,97.66596488,97.96851189,98.2710589,98.57360591,98.87615291,99.17869992,99.48124693,99.68023222,100,100
China,CHN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,76.64216587,77.28142159,77.92067732,78.55993304,79.19918876,79.83844449,80.47770021,81.11695593,81.75621165,82.39546738,83.0347231,83.67397882,84.31323455,84.95249027,85.59174599,86.23100171
Cote d'Ivoire,CIV,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,39.88828421,40.19867776,40.50907131,40.81946485,41.1298584,41.44025195,41.7506455,42.06103904,42.37143259,42.68182614,42.99221968,43.30261323,43.61300678,43.92340033,44.23379387,44.54418742
Cameroon,CMR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,55.92446399,55.90049287,55.87652176,55.85255065,55.82857953,55.80460842,55.7806373,55.75666619,55.73269508,55.70872396,55.68475285,55.66078174,55.63681062,55.61283951,55.58886839,55.56489728
"Congo, Dem. Rep.",COD,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,24.03487119,23.94228258,23.84969397,23.75710537,23.66451676,23.57192815,23.47933954,23.38675094,23.29416233,23.20157372,23.10898511,23.01639651,22.9238079,22.83121929,22.73863069,22.64604208
"Congo, Rep.",COG,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,17.70775073,17.70775073,17.88389579,18.06004084,18.23618589,18.41233095,18.588476,18.76462105,18.94076611,19.11691116,19.29305621,19.46920126,19.64534632,19.82149137,19.99763642,19.99763642
Colombia,COL,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,85.58267312,85.76217726,85.94168139,86.12118553,86.30068966,86.48019379,86.65969793,86.83920206,87.0187062,87.19821033,87.37771446,87.5572186,87.73672273,87.91622687,88.095731,88.27523514
Comoros,COM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,39.12063973,39.70339183,40.28614393,40.86889603,41.45164813,42.03440023,42.61715233,43.19990443,43.78265653,44.36540863,44.94816073,45.53091283,46.11366494,46.69641704,47.27916914,47.27916914
Cabo Verde,CPV,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,50.30428505,52.04942074,53.79455642,55.53969211,57.2848278,59.02996348,60.77509917,62.52023486,64.26537054,66.01050623,67.75564192,69.5007776,71.24591329,72.50007533,72.70109361,72.89398063
Costa Rica,CRI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,97.00161519,97.06936444,97.1371137,97.20486295,97.2726122,97.34036145,97.40811071,97.47585996,97.54360921,97.61135847,97.67910772,97.74685697,97.81460622,97.88235548,97.95010473,98.01785398
Caribbean small states,CSS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Cuba,CUB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,92.2249652,92.18479111,92.14461701,92.10444292,92.06426883,92.02409474,91.98392064,91.94374655,91.90357246,91.86339837,91.82322427,91.78305018,91.74287609,91.70270199,91.6625279,91.62235381
Curacao,CUW,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55
Cyprus,CYP,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,100,100,100,100,100,99.98311688,99.96071429,99.93831169,99.91590909,99.89350649,99.8711039,99.8487013,99.8262987,99.8038961,99.78149351,99.75909091
Czech Republic,CZE,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.08924418,99.08947044,99.08969669,99.08992294,99.0901492,99.09037545,99.0906017,99.09082796,99.09105421,99.09128046,99.09150672,99.09173297,99.09195922,99.09218548,99.09241173,99.09263798
Germany,DEU,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279,99.29364279
Djibouti,DJI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897,62.62168897
Dominica,DMA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Denmark,DNK,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026
Dominican Republic,DOM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,85.06421372,85.06757617,85.07093863,85.07430109,85.07766355,85.081026,85.08438846,85.08775092,85.09111337,85.09447583,85.09783829,85.10120075,85.1045632,85.10792566,85.11128812,85.11465058
Algeria,DZA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,91.36205105,91.24940556,91.13676007,91.02411457,90.91146908,90.79882359,90.6861781,90.57353261,90.46088712,90.34824162,90.23559613,90.12295064,90.01030515,89.89765966,89.78501417,89.67236867
East Asia & Pacific (excluding high income),EAP,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,76.27505314,76.87126001,77.56173597,78.14329913,78.72582485,79.30977887,79.89462764,80.48004742,81.0664529,81.65361071,82.24216415,82.82793663,83.41386147,84.00039211,84.58776651,85.17359745
Early-demographic dividend,EAR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,68.68626129,69.14228379,69.61128864,70.08883106,70.57460175,71.06918689,71.57184838,72.07416956,72.57348168,73.0770221,73.58469649,74.08727784,74.58472426,75.08434516,75.57660873,76.04016238
East Asia & Pacific,EAS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,76.74533227,77.31814153,77.97407691,78.52987822,79.09185292,79.65662798,80.22465811,80.80002727,81.37263915,81.94400822,82.51687727,83.08796129,83.66051238,84.23294588,84.80712837,85.38049116
Europe & Central Asia (excluding high income),ECA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,93.66181895,93.65853834,93.78928231,93.92651186,94.07150548,94.2259077,94.332082,94.47259595,94.61198268,94.75709458,94.91044582,95.06649233,95.22104286,95.37959331,95.54332262,95.55356451
Europe & Central Asia,ECS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,96.35309117,96.3733597,96.45533069,96.53917389,96.62508463,96.71442123,96.89839038,96.97637957,97.05269969,97.12812726,97.20569563,97.27943665,97.35598503,97.43432328,97.51474456,97.53543501
Ecuador,ECU,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,82.40084372,82.8698824,83.33892108,83.80795977,84.27699845,84.74603713,85.21507581,85.6841145,86.15315318,86.62219186,87.09123055,87.56026923,88.02930791,88.49834659,88.96738528,89.43642396
"Egypt, Arab Rep.",EGY,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,96.69053321,96.73145575,96.77237829,96.81330083,96.85422337,96.89514591,96.93606846,96.976991,97.01791354,97.05883608,97.09975862,97.14068116,97.1816037,97.22252624,97.26344878,97.30437132
Euro area,EMU,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.79903555,98.80855079,98.82143568,98.83484388,98.84790988,98.86058732,98.94302458,98.95286114,98.96322122,98.97358235,98.98386448,98.99062474,98.99815881,99.00559513,99.01273442,99.03192097
Eritrea,ERI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,35.82603939,35.24343545,34.66083151,34.07822757,33.49562363,32.91301969,32.33041575,31.74781182,31.16520788,30.58260394,30,29.41739606,28.83479212,28.83479212,28.83479212,28.83479212
Spain,ESP,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.87535039,99.87564822,99.87594605,99.87624388,99.8765417,99.87683953,99.87713736,99.87743519,99.87773301,99.87803084,99.87832867,99.8786265,99.87892432,99.87922215,99.87951998,99.87981781
Estonia,EST,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.35076217,99.3669927,99.38322323,99.39945376,99.41568429,99.43191483,99.44814536,99.46437589,99.48060642,99.49683695,99.51306748,99.52929801,99.54552854,99.56175907,99.5779896,99.59422013
Ethiopia,ETH,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,15.42324416,15.62535272,15.82746127,16.02956982,16.23167837,16.43378692,16.63589548,16.83800403,17.04011258,17.24222113,17.44432968,17.64643823,17.84854679,18.05065534,18.25276389,18.45487244
European Union,EUU,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.22144596,98.25684798,98.29544898,98.33198176,98.36775997,98.40290377,98.36930297,98.40155762,98.4338483,98.46367786,98.492929,98.51750925,98.54395259,98.57035227,98.59631026,98.63036152
Fragile and conflict affected situations,FCS,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,54.73409341,54.65251969,54.61480174,54.59354865,54.59035486,54.71394522,54.85602661,55.04061056,55.16464152,55.26213452,55.32609145,54.86693394,54.84174327,54.80105368,54.76683678,54.79588477
Finland,FIN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461,99.44700461
Fiji,FJI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,91.10542136,91.10542136,91.10542136,91.48953787,91.87365438,92.25777088,92.64188739,93.0260039,93.4101204,93.79423691,94.17835342,94.56246992,94.94658643,95.33070294,95.71481944,96.09893595
France,FRA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092,98.59013092
Faroe Islands,FRO,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,
Gabon,GAB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,40.12225166,40.26039916,40.39854665,40.53669415,40.67484165,40.81298914,40.95113664,41.08928413,41.22743163,41.36557913,41.50372662,41.64187412,41.78002161,41.91816911,42.0563166,42.1944641
United Kingdom,GBR,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669,99.03639669
Georgia,GEO,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,96.39013768,96.30843073,96.22672379,96.14501685,96.06330991,95.98160297,95.89989603,95.81818909,95.73648215,95.65477521,95.57306827,95.49136133,95.40965438,95.32794744,95.2462405,95.16453356
Ghana,GHA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,17.47861265,17.56438815,17.65016365,17.73593915,17.82171465,17.90749015,17.99326565,18.07904115,18.16481665,18.25059215,18.33636765,18.42214315,18.50791865,18.59369415,18.67946965,18.76524515
Gibraltar,GIB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Guinea,GIN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,22.25896384,23.05969289,23.86042194,24.66115098,25.46188003,26.26260908,27.06333812,27.86406717,28.66479622,29.46552526,30.26625431,31.06698335,31.8677124,32.66844145,33.46917049,34.26989954
"Gambia, The",GMB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,51.39913069,51.03829997,50.67746924,50.31663852,49.95580779,49.59497707,49.23414635,48.87331562,48.5124849,48.15165417,47.79082345,47.42999273,47.069162,46.70833128,46.34750055,45.98666983
Guinea-Bissau,GNB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,25.67621736,26.28862062,26.90102388,27.51342714,28.1258304,28.73823365,29.35063691,29.96304017,30.57544343,31.18784669,31.80024995,32.41265321,33.02505646,33.63745972,34.24986298,34.86226624
Equatorial Guinea,GNQ,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,80.68523451,80.62479002,80.56434554,80.50390105,80.44345656,80.38301207,80.32256759,80.2621231,80.20167861,80.14123413,80.08078964,80.02034515,79.95990066,79.89945618,79.89945618,79.89945618
Greece,GRC,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.0961844,98.17120589,98.24622739,98.32124888,98.39627038,98.47129187,98.54631337,98.62133486,98.69635636,98.77137785,98.83697196,98.83725365,98.83753491,98.83781575,98.83809616,99.2097985
Grenada,GRD,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Greenland,GRL,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.59718026,99.57776421,99.54702212,99.51628003,99.48553794,99.45479585,99.42405376,99.39331167,99.36256958,99.33182749,99.3010854
Guatemala,GTM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,78.7885209,78.91751072,79.04650054,79.17549036,79.30448018,79.43347,79.56245982,79.69144964,79.82043946,79.94942927,80.07841909,80.20740891,80.33639873,80.46538855,80.59437837,80.72336819
Guam,GUM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,
Guyana,GUY,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,85.94751969,86.16253497,86.37755025,86.59256552,86.8075808,87.02259608,87.23761135,87.45262663,87.66764191,87.88265719,88.09767246,88.31268774,88.52770302,88.74271829,88.95773357,89.17274885
High income,HIC,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.67462019,98.70110769,98.73029979,98.75974187,98.78874553,98.81810823,98.87458612,98.90105516,98.92881547,98.9551411,98.97935972,99.00160796,99.02402973,99.04347724,99.06398805,99.08193257
"Hong Kong SAR, China",HKG,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,96.95454545,96.95454545,96.95454545,96.95454545,96.9,96.84545455,96.79090909,96.73636364,96.68181818,96.62727273,96.57272727,96.51818182,96.46363636,96.40909091,96.35454545,96.3
Honduras,HND,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,76.50040506,76.9780865,77.45576794,77.93344938,78.41113081,78.88881225,79.36649369,79.84417513,80.32185656,80.799538,81.27721944,81.75490088,82.23258232,82.71026375,83.18794519,83.66562663
Heavily indebted poor countries (HIPC),HPC,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,33.25583766,33.52753768,33.86329377,34.1796372,34.49553658,34.89367539,35.28932896,35.66943125,36.04655318,36.42142322,36.79460543,37.16719623,37.54275921,37.91009167,38.27810347,38.62637942
Croatia,HRV,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,98.03569922,98.03569922,98.05492049,98.07414176,98.09336304,98.11258431,98.13180558,98.15102685,98.17024812,98.18946939,98.20869067,98.22791194,98.24713321,98.26635448,98.28557575,98.30479702
Haiti,HTI,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,28.55710906,29.13881027,29.72051148,30.30221269,30.88391391,31.46561512,32.04731633,32.62901754,33.21071875,33.79241996,34.37412117,34.95582238,35.53752359,36.1192248,36.70092601,36.70092601
Hungary,HUN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204,97.75510204
IBRD only,IBD,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,77.27273228,77.67986522,78.09925127,78.52778144,78.96485046,79.41115353,79.94374197,80.40088233,80.86573667,81.33963244,81.81851981,82.3020391,82.79023463,83.28144729,83.77011051,84.23959446
IDA & IBRD total,IBT,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,72.75236795,73.07639621,73.41104513,73.75287617,74.10165637,74.46257147,74.91798051,75.28643503,75.64850318,76.01540379,76.38326844,76.70623026,77.06981463,77.4335818,77.79391589,78.13746851
IDA total,IDA,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,47.96064766,48.13100897,48.31788741,48.49623092,48.68180565,48.90928285,49.1464012,49.38327081,49.59512282,49.79921931,50.00555318,50.03384166,50.16303921,50.29185966,50.43149732,50.60124983
IDA blend,IDB,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,56.71141473,56.75751591,56.79586936,56.83418438,56.86688551,56.89566177,56.92175851,56.91471128,56.90307717,56.89388566,56.92547374,56.93347093,56.88066841,56.83194423,56.78694677,56.74188071
